Year	P	D	S	Proof	obs.P	obs.D	obs.S
1932	5404000	436800	408000		0	0	0
1933							
1934	31912052	3527200			2	0	
1935	32484000	5780000	5660000		1	0	0
1936	41300000	5374000	3828000	3837	3	0	0
1937	19696000	7189600	1652000	5542	2	0	0
1938	9472000		2832000	8045	1		0
1939	33540000	7092000	2628000	8795	2	1	2
1940	35704000	2797600	8244000	11246	4	0	1
1941	79032000	16714800	16080000	15287	2	1	1
1942	102096000	17487200	19384000	21123	10	1	0
1943	99700000	16095600	21700000		5	0	1
1944	104956000	14600800	12560000		6	0	0
1945	74372000	12341600	17004001		3	0	0
1946	53436000	9072800	4204000		2	0	0
1947	22556000	15338400	5532000		1	4	1
1948	35196000	16766800	15960000		2	1	3
1949	9312000	10068400			0	0	
1950	24920126	21075600	10284004	51386	1	2	2
1951	43448102	35354800	9048000	57500	3	4	3
1952	38780093	49795200	13707800	81980	4	4	0
1953	18536120	56112400	14016000	128800	3	9	3
1954	54412203	42305500	11834722	233300	3	3	0
1955	18180181	3182400		378200	3	0	
1956	44144000	32334500		669384	1	3	
1957	46532000	77924160		1247952	3	10	
1958	6360000	78124900		875652	0	5	
1959	24384000	62054232		1149291	0	3	
1960	29164000	63000324		1691602	0	7	
1961	37036000	83656928		3028244	2	11	
1962	36156000	127554756		3218019	5	8	
1963	74316000	135288184		3075645	9	7	
1964	560390585	704135528		3950762	56	50	
